symbol,trade_date,close
8454.TW,2024-01-03,208.0146
IMOS,2024-01-03,39.9772
HIMX,2024-01-03,47.1218
2201.TW,2024-01-03,54.0254
1434.TW,2024-01-03,61.1825
2501.TW,2024-01-03,68.2035
9914.TW,2024-01-03,75.1583
OWLS,2024-01-03,81.9697
5478.TWO,2024-01-03,88.96
2753.TW,2024-01-03,96.2296
2630.TW,2024-01-03,103.3618
6180.TWO,2024-01-03,110.0385
GRRR,2024-01-03,117.3735
4994.TW,2024-01-03,123.969
3086.TWO,2024-01-03,131.1664
PERF,2024-01-03,138.0262
6111.TWO,2024-01-03,145.4397
3546.TWO,2024-01-03,152.3574
3083.TWO,2024-01-03,159.0557
6542.TWO,2024-01-03,165.9319
3687.TWO,2024-01-03,173.3652
GGR,2024-01-03,180.0198
6482.TWO,2024-01-03,187.5146
2303.TW,2024-01-03,194.262
2601.TW,2024-01-03,201.6981
2607.TW,2024-01-03,208.1893
2330.TW,2024-01-04,40.0961
2317.TW,2024-01-04,47.0536
2454.TW,2024-01-04,54.0389
2308.TW,2024-01-04,61.1575
3711.TW,2024-01-04,68.1061
2382.TW,2024-01-04,74.9505
2345.TW,2024-01-04,82.2265
6669.TW,2024-01-04,89.1763
3231.TW,2024-01-04,96.0115
3037.TW,2024-01-04,103.0309
2327.TW,2024-01-04,110.4362
2379.TW,2024-01-04,117.274
3034.TW,2024-01-04,124.2084
3661.TW,2024-01-04,131.2202
3008.TW,2024-01-04,138.7133
2357.TW,2024-01-04,145.3744
2301.TW,2024-01-04,152.7125
2383.TW,2024-01-04,158.8379
2360.TW,2024-01-04,166.7082
3653.TW,2024-01-04,173.1142
2059.TW,2024-01-04,180.6488
2395.TW,2024-01-04,187.1122
5530.TW,2024-01-04,195.0845
3017.TW,2024-01-04,201.4707
2881.TW,2024-01-04,208.8123
2882.TW,2024-01-04,40.036
2891.TW,2024-01-04,47.1072
2885.TW,2024-01-04,54.013
2886.TW,2024-01-04,61.3226
2884.TW,2024-01-04,68.3433
2880.TW,2024-01-04,75.2027
2892.TW,2024-01-04,82.064
2890.TW,2024-01-04,89.1763
2887.TW,2024-01-04,96.4442
5880.TW,2024-01-04,103.1855
2883.TW,2024-01-04,110.251
2412.TW,2024-01-04,117.1967
3045.TW,2024-01-04,124.268
4904.TW,2024-01-04,130.9528
1303.TW,2024-01-04,137.9255
1301.TW,2024-01-04,145.1218
6505.TW,2024-01-04,152.5204
2002.TW,2024-01-04,159.0668
2207.TW,2024-01-04,166.5784
2912.TW,2024-01-04,173.3843
1216.TW,2024-01-04,180.7787
2603.TW,2024-01-04,187.7978
2615.TW,2024-01-04,194.8159
5871.TW,2024-01-04,202.051
2408.TW,2024-01-04,208.6163
6446.TW,2024-01-04,40.2068
3481.TW,2024-01-04,47.1751
2888.TW,2024-01-04,54.1979
6488.TWO,2024-01-04,61.1869
2609.TW,2024-01-04,67.9714
1101.TW,2024-01-04,75.2884
2618.TW,2024-01-04,82.0984
3293.TWO,2024-01-04,89.3154
4938.TW,2024-01-04,96.5309
5876.TW,2024-01-04,103.2288
3529.TWO,2024-01-04,110.2642
1402.TW,2024-01-04,117.4358
2834.TW,2024-01-04,124.5588
2633.TW,2024-01-04,131.4722
3105.TWO,2024-01-04,138.5057
1102.TW,2024-01-04,145.5401
2610.TW,2024-01-04,151.9088
6789.TW,2024-01-04,159.0477
2347.TW,2024-01-04,166.5284
2377.TW,2024-01-04,173.4329
2353.TW,2024-01-04,180.3242
5483.TWO,2024-01-04,187.0224
6472.TW,2024-01-04,194.6992
3532.TW,2024-01-04,201.519
8454.TW,2024-01-04,208.025
IMOS,2024-01-04,39.9664
HIMX,2024-01-04,47.1741
2201.TW,2024-01-04,54.0389
1434.TW,2024-01-04,61.2749
2501.TW,2024-01-04,68.2928
9914.TW,2024-01-04,75.2388
OWLS,2024-01-04,81.9557
5478.TWO,2024-01-04,88.9413
2753.TW,2024-01-04,96.346
2630.TW,2024-01-04,103.5448
6180.TWO,2024-01-04,110.0594
GRRR,2024-01-04,117.5625
4994.TW,2024-01-04,123.9554
3086.TWO,2024-01-04,131.2517
PERF,2024-01-04,138.0414
6111.TWO,2024-01-04,145.6622
3546.TWO,2024-01-04,152.5387
3083.TWO,2024-01-04,159.0859
6542.TWO,2024-01-04,165.9004
3687.TWO,2024-01-04,173.5507
GGR,2024-01-04,180.0324
6482.TWO,2024-01-04,187.7752
2303.TW,2024-01-04,194.396
2601.TW,2024-01-04,202.051
2607.TW,2024-01-04,208.2872
2330.TW,2024-01-05,40.129
2317.TW,2024-01-05,47.0724
2454.TW,2024-01-05,54.0529
2308.TW,2024-01-05,61.2113
3711.TW,2024-01-05,68.1429
2382.TW,2024-01-05,74.9355
2345.TW,2024-01-05,82.3038
6669.TW,2024-01-05,89.237
3231.TW,2024-01-05,96.0173
3037.TW,2024-01-05,103.0433
2327.TW,2024-01-05,110.5842
2379.TW,2024-01-05,117.3678
3034.TW,2024-01-05,124.2805
3661.TW,2024-01-05,131.2963
3008.TW,2024-01-05,138.9547
2357.TW,2024-01-05,145.5024
2301.TW,2024-01-05,152.9538
2383.TW,2024-01-05,158.787
2360.TW,2024-01-05,166.9482
3653.TW,2024-01-05,173.1558
2059.TW,2024-01-05,180.8692
2395.TW,2024-01-05,187.1534
5530.TW,2024-01-05,195.4513
3017.TW,2024-01-05,201.6319
2881.TW,2024-01-05,209.0879
2882.TW,2024-01-05,40.0488
2891.TW,2024-01-05,47.144
2885.TW,2024-01-05,54.0076
2886.TW,2024-01-05,61.4318
2884.TW,2024-01-05,68.4595
2880.TW,2024-01-05,75.2719
2892.TW,2024-01-05,82.087
2890.TW,2024-01-05,89.237
2887.TW,2024-01-05,96.5947
5880.TW,2024-01-05,103.2495
2883.TW,2024-01-05,110.337
2412.TW,2024-01-05,117.2646
3045.TW,2024-01-05,124.36
4904.TW,2024-01-05,130.9398
1303.TW,2024-01-05,137.9034
1301.TW,2024-01-05,145.1363
6505.TW,2024-01-05,152.6974
2002.TW,2024-01-05,159.0922
2207.TW,2024-01-05,166.7749
2912.TW,2024-01-05,173.5161
1216.TW,2024-01-05,181.0427
2603.TW,2024-01-05,188.0682
2615.TW,2024-01-05,195.0926
5871.TW,2024-01-05,202.4067
2408.TW,2024-01-05,208.8124
6446.TW,2024-01-05,40.2767
3481.TW,2024-01-05,47.2345
2888.TW,2024-01-05,54.2651
6488.TWO,2024-01-05,61.2505
2609.TW,2024-01-05,67.9633
1101.TW,2024-01-05,75.3712
2618.TW,2024-01-05,82.1329
3293.TWO,2024-01-05,89.4226
4938.TW,2024-01-05,96.7104
5876.TW,2024-01-05,103.3073
3529.TWO,2024-01-05,110.3546
1402.TW,2024-01-05,117.5837
2834.TW,2024-01-05,124.7482
2633.TW,2024-01-05,131.6326
3105.TWO,2024-01-05,138.6774
1102.TW,2024-01-05,145.7234
2610.TW,2024-01-05,151.8815
6789.TW,2024-01-05,159.0668
2347.TW,2024-01-05,166.7083
2377.TW,2024-01-05,173.5577
2353.TW,2024-01-05,180.436
5483.TWO,2024-01-05,187.0337
6472.TW,2024-01-05,194.9368
3532.TW,2024-01-05,201.6964
8454.TW,2024-01-05,208.0374
IMOS,2024-01-05,39.956
HIMX,2024-01-05,47.2269
2201.TW,2024-01-05,54.0529
1434.TW,2024-01-05,61.368
2501.TW,2024-01-05,68.383
9914.TW,2024-01-05,75.32
OWLS,2024-01-05,81.9426
5478.TWO,2024-01-05,88.9235
2753.TW,2024-01-05,96.4636
2630.TW,2024-01-05,103.7291
6180.TWO,2024-01-05,110.0594
GRRR,2024-01-05,117.753
4994.TW,2024-01-05,123.943
3086.TWO,2024-01-05,131.3383
PERF,2024-01-05,138.058
6111.TWO,2024-01-05,145.8865
3546.TWO,2024-01-05,152.7218
3083.TWO,2024-01-05,159.1177
6542.TWO,2024-01-05,165.8706
3687.TWO,2024-01-05,173.7382
GGR,2024-01-05,180.0468
6482.TWO,2024-01-05,188.0381
2303.TW,2024-01-05,194.5321
2601.TW,2024-01-05,202.4067
2607.TW,2024-01-05,208.3871
2330.TW,2024-01-08,40.1631
2317.TW,2024-01-08,47.0927
2454.TW,2024-01-08,54.0578
2308.TW,2024-01-08,61.2548
3711.TW,2024-01-08,68.1681
2382.TW,2024-01-08,74.9228
2345.TW,2024-01-08,82.3672
6669.TW,2024-01-08,89.2825
3231.TW,2024-01-08,96.0067
3037.TW,2024-01-08,103.0587
2327.TW,2024-01-08,110.7357
2379.TW,2024-01-08,117.4652
3034.TW,2024-01-08,124.3563
3661.TW,2024-01-08,131.3764
3008.TW,2024-01-08,139.2006
2357.TW,2024-01-08,145.6057
2301.TW,2024-01-08,153.1694
2383.TW,2024-01-08,158.741
2360.TW,2024-01-08,167.1936
3653.TW,2024-01-08,173.2025
2059.TW,2024-01-08,181.0953
2395.TW,2024-01-08,187.2002
5530.TW,2024-01-08,195.7855
3017.TW,2024-01-08,201.7992
2881.TW,2024-01-08,209.3702
2882.TW,2024-01-08,40.0628
2891.TW,2024-01-08,47.1822
2885.TW,2024-01-08,54.0038
2886.TW,2024-01-08,61.543
2884.TW,2024-01-08,68.5779
2880.TW,2024-01-08,75.3434
2892.TW,2024-01-08,82.1124
2890.TW,2024-01-08,89.3003
2887.TW,2024-01-08,96.7482
5880.TW,2024-01-08,103.3166
2883.TW,2024-01-08,110.4264
2412.TW,2024-01-08,117.3127
3045.TW,2024-01-08,124.4557
4904.TW,2024-01-08,130.9306
1303.TW,2024-01-08,137.8855
1301.TW,2024-01-08,145.1552
6505.TW,2024-01-08,152.8791
2002.TW,2024-01-08,159.1225
2207.TW,2024-01-08,166.9767
2912.TW,2024-01-08,173.6532
1216.TW,2024-01-08,181.3124
2603.TW,2024-01-08,188.3446
2615.TW,2024-01-08,195.3755
5871.TW,2024-01-08,202.7285
2408.TW,2024-01-08,209.0149
6446.TW,2024-01-08,40.348
3481.TW,2024-01-08,47.286
2888.TW,2024-01-08,54.334
6488.TWO,2024-01-08,61.316
2609.TW,2024-01-08,67.9436
1101.TW,2024-01-08,75.4564
2618.TW,2024-01-08,82.1699
3293.TWO,2024-01-08,89.5326
4938.TW,2024-01-08,96.8739
5876.TW,2024-01-08,103.3682
3529.TWO,2024-01-08,110.4484
1402.TW,2024-01-08,117.7354
2834.TW,2024-01-08,124.9415
2633.TW,2024-01-08,131.7971
3105.TWO,2024-01-08,138.8258
1102.TW,2024-01-08,145.9114
2610.TW,2024-01-08,151.8587
6789.TW,2024-01-08,159.0907
2347.TW,2024-01-08,166.8933
2377.TW,2024-01-08,173.6879
2353.TW,2024-01-08,180.5533
5483.TWO,2024-01-08,187.0505
6472.TW,2024-01-08,195.1804
3532.TW,2024-01-08,201.8396
8454.TW,2024-01-08,208.0562
IMOS,2024-01-08,39.9468
HIMX,2024-01-08,47.2813
2201.TW,2024-01-08,54.0686
1434.TW,2024-01-08,61.4632
2501.TW,2024-01-08,68.4753
9914.TW,2024-01-08,75.4036
OWLS,2024-01-08,81.9156
5478.TWO,2024-01-08,88.9084
2753.TW,2024-01-08,96.5841
2630.TW,2024-01-08,103.8961
6180.TWO,2024-01-08,110.0627
GRRR,2024-01-08,117.9472
4994.TW,2024-01-08,123.9343
3086.TWO,2024-01-08,131.4289
PERF,2024-01-08,138.0787
6111.TWO,2024-01-08,146.0864
3546.TWO,2024-01-08,152.9096
3083.TWO,2024-01-08,159.1543
6542.TWO,2024-01-08,165.8457
3687.TWO,2024-01-08,173.931
GGR,2024-01-08,180.0666
6482.TWO,2024-01-08,188.307
2303.TW,2024-01-08,194.6741
2601.TW,2024-01-08,202.769
2607.TW,2024-01-08,208.4934
2330.TW,2024-01-09,40.1976
2317.TW,2024-01-09,47.1134
2454.TW,2024-01-09,54.0632
2308.TW,2024-01-09,61.2989
3711.TW,2024-01-09,68.194
2382.TW,2024-01-09,74.9108
2345.TW,2024-01-09,82.4314
6669.TW,2024-01-09,89.3289
3231.TW,2024-01-09,95.9971
3037.TW,2024-01-09,103.0752
2327.TW,2024-01-09,110.8885
2379.TW,2024-01-09,117.5639
3034.TW,2024-01-09,124.4334
3661.TW,2024-01-09,131.4579
3008.TW,2024-01-09,139.4484
2357.TW,2024-01-09,145.7105
2301.TW,2024-01-09,153.3869
2383.TW,2024-01-09,158.6966
2360.TW,2024-01-09,167.4411
3653.TW,2024-01-09,173.251
2059.TW,2024-01-09,181.2872
2395.TW,2024-01-09,187.2114
5530.TW,2024-01-09,196.1223
3017.TW,2024-01-09,201.9687
2881.TW,2024-01-09,209.6549
2882.TW,2024-01-09,40.0773
2891.TW,2024-01-09,47.2209
2885.TW,2024-01-09,54.0005
2886.TW,2024-01-09,61.655
2884.TW,2024-01-09,68.6972
2880.TW,2024-01-09,75.4157
2892.TW,2024-01-09,82.1387
2890.TW,2024-01-09,89.3646
2887.TW,2024-01-09,96.903
5880.TW,2024-01-09,103.3848
2883.TW,2024-01-09,110.5169
2412.TW,2024-01-09,117.362
3045.TW,2024-01-09,124.5528
4904.TW,2024-01-09,130.9227
1303.TW,2024-01-09,137.869
1301.TW,2024-01-09,145.1755
6505.TW,2024-01-09,153.0625
2002.TW,2024-01-09,159.1543
2207.TW,2024-01-09,167.1804
2912.TW,2024-01-09,173.7921
1216.TW,2024-01-09,181.5844
2603.TW,2024-01-09,188.6234
2615.TW,2024-01-09,195.6607
5871.TW,2024-01-09,203.0528
2408.TW,2024-01-09,209.2198
6446.TW,2024-01-09,40.4198
3481.TW,2024-01-09,47.338
2888.TW,2024-01-09,54.4036
6488.TWO,2024-01-09,61.3822
2609.TW,2024-01-09,67.9246
1101.TW,2024-01-09,75.5424
2618.TW,2024-01-09,82.1912
3293.TWO,2024-01-09,89.6436
4938.TW,2024-01-09,97.0386
5876.TW,2024-01-09,103.4303
3529.TWO,2024-01-09,110.5434
1402.TW,2024-01-09,117.8885
2834.TW,2024-01-09,125.1114
2633.TW,2024-01-09,131.9632
3105.TWO,2024-01-09,138.9758
1102.TW,2024-01-09,146.1011
2610.TW,2024-01-09,151.8374
6789.TW,2024-01-09,159.1161
2347.TW,2024-01-09,167.0803
2377.TW,2024-01-09,173.8199
2353.TW,2024-01-09,180.6363
5483.TWO,2024-01-09,187.0692
6472.TW,2024-01-09,195.4264
3532.TW,2024-01-09,201.9849
8454.TW,2024-01-09,208.077
IMOS,2024-01-09,39.938
HIMX,2024-01-09,47.3361
2201.TW,2024-01-09,54.0848
1434.TW,2024-01-09,61.5591
2501.TW,2024-01-09,68.5684
9914.TW,2024-01-09,75.4881
OWLS,2024-01-09,81.8894
5478.TWO,2024-01-09,88.8941
2753.TW,2024-01-09,96.6865
2630.TW,2024-01-09,104.0644
6180.TWO,2024-01-09,110.0671
GRRR,2024-01-09,118.1194
4994.TW,2024-01-09,123.9269
3086.TWO,2024-01-09,131.5209
PERF,2024-01-09,138.1008
6111.TWO,2024-01-09,146.288
3546.TWO,2024-01-09,153.0992
3083.TWO,2024-01-09,159.1925
6542.TWO,2024-01-09,165.7893
3687.TWO,2024-01-09,174.1258
GGR,2024-01-09,180.0882
6482.TWO,2024-01-09,188.5782
2303.TW,2024-01-09,194.8182
2601.TW,2024-01-09,203.1339
2607.TW,2024-01-09,208.6018
2330.TW,2024-01-10,40.2326
2317.TW,2024-01-10,47.1346
2454.TW,2024-01-10,54.0692
2308.TW,2024-01-10,61.3436
3711.TW,2024-01-10,68.2206
2382.TW,2024-01-10,74.8996
2345.TW,2024-01-10,82.4966
6669.TW,2024-01-10,89.3763
3231.TW,2024-01-10,95.9885
3037.TW,2024-01-10,103.0927
2327.TW,2024-01-10,111.0426
2379.TW,2024-01-10,117.6403
3034.TW,2024-01-10,124.5118
3661.TW,2024-01-10,131.5407
3008.TW,2024-01-10,139.698
2357.TW,2024-01-10,145.8169
2301.TW,2024-01-10,153.6063
2383.TW,2024-01-10,158.6537
2360.TW,2024-01-10,167.6906
3653.TW,2024-01-10,173.3012
2059.TW,2024-01-10,181.4812
2395.TW,2024-01-10,187.2245
5530.TW,2024-01-10,196.4616
3017.TW,2024-01-10,202.1404
2881.TW,2024-01-10,209.9421
2882.TW,2024-01-10,40.0921
2891.TW,2024-01-10,47.2601
2885.TW,2024-01-10,53.9978
2886.TW,2024-01-10,61.7678
2884.TW,2024-01-10,68.8175
2880.TW,2024-01-10,75.4889
2892.TW,2024-01-10,82.1658
2890.TW,2024-01-10,89.4299
2887.TW,2024-01-10,97.0591
5880.TW,2024-01-10,103.4541
2883.TW,2024-01-10,110.6086
2412.TW,2024-01-10,117.4125
3045.TW,2024-01-10,124.6512
4904.TW,2024-01-10,130.9162
1303.TW,2024-01-10,137.8538
1301.TW,2024-01-10,145.1973
6505.TW,2024-01-10,153.2477
2002.TW,2024-01-10,159.1877
2207.TW,2024-01-10,167.3861
2912.TW,2024-01-10,173.9329
1216.TW,2024-01-10,181.8586
2603.TW,2024-01-10,188.9044
2615.TW,2024-01-10,195.9483
5871.TW,2024-01-10,203.3798
2408.TW,2024-01-10,209.4269
6446.TW,2024-01-10,40.4922
3481.TW,2024-01-10,47.3905
2888.TW,2024-01-10,54.4737
6488.TWO,2024-01-10,61.4492
2609.TW,2024-01-10,67.9062
1101.TW,2024-01-10,75.6292
2618.TW,2024-01-10,82.2134
3293.TWO,2024-01-10,89.7557
4938.TW,2024-01-10,97.2045
5876.TW,2024-01-10,103.4933
3529.TWO,2024-01-10,110.6396
1402.TW,2024-01-10,118.0429
2834.TW,2024-01-10,125.2828
2633.TW,2024-01-10,132.1308
3105.TWO,2024-01-10,139.1272
1102.TW,2024-01-10,146.2925
2610.TW,2024-01-10,151.8177
6789.TW,2024-01-10,159.1432
2347.TW,2024-01-10,167.2691
2377.TW,2024-01-10,173.9537
2353.TW,2024-01-10,180.7212
5483.TWO,2024-01-10,187.0898
6472.TW,2024-01-10,195.6746
3532.TW,2024-01-10,202.1323
8454.TW,2024-01-10,208.0999
IMOS,2024-01-10,39.9297
HIMX,2024-01-10,47.3915
2201.TW,2024-01-10,54.1016
1434.TW,2024-01-10,61.6557
2501.TW,2024-01-10,68.6623
9914.TW,2024-01-10,75.5734
OWLS,2024-01-10,81.864
5478.TWO,2024-01-10,88.8808
2753.TW,2024-01-10,96.79
2630.TW,2024-01-10,104.234
6180.TWO,2024-01-10,110.0726
GRRR,2024-01-10,118.2931
4994.TW,2024-01-10,123.8959
3086.TWO,2024-01-10,131.6143
PERF,2024-01-10,138.1242
6111.TWO,2024-01-10,146.4913
3546.TWO,2024-01-10,153.2906
3083.TWO,2024-01-10,159.2004
6542.TWO,2024-01-10,165.7346
3687.TWO,2024-01-10,174.3226
GGR,2024-01-10,180.1116
6482.TWO,2024-01-10,188.8139
2303.TW,2024-01-10,194.9643
2601.TW,2024-01-10,203.5016
2607.TW,2024-01-10,208.7124
2330.TW,2024-01-11,40.268
2317.TW,2024-01-11,47.1563
2454.TW,2024-01-11,54.0756
2308.TW,2024-01-11,61.389
3711.TW,2024-01-11,68.2479
2382.TW,2024-01-11,74.8891
2345.TW,2024-01-11,82.5626
6669.TW,2024-01-11,89.4245
3231.TW,2024-01-11,95.9808
3037.TW,2024-01-11,103.1113
2327.TW,2024-01-11,111.1981
2379.TW,2024-01-11,117.718
3034.TW,2024-01-11,124.5915
3661.TW,2024-01-11,131.6249
3008.TW,2024-01-11,139.9495
2357.TW,2024-01-11,145.9248
2301.TW,2024-01-11,153.8275
2383.TW,2024-01-11,158.6125
2360.TW,2024-01-11,167.9421
3653.TW,2024-01-11,173.3532
2059.TW,2024-01-11,181.6772
2395.TW,2024-01-11,187.2395
5530.TW,2024-01-11,196.8034
3017.TW,2024-01-11,202.3143
2881.TW,2024-01-11,210.2318
2882.TW,2024-01-11,40.1073
2891.TW,2024-01-11,47.2998
2885.TW,2024-01-11,53.9957
2886.TW,2024-01-11,61.8815
2884.TW,2024-01-11,68.9386
2880.TW,2024-01-11,75.5628
2892.TW,2024-01-11,82.1773
2890.TW,2024-01-11,89.496
2887.TW,2024-01-11,97.2163
5880.TW,2024-01-11,103.5244
2883.TW,2024-01-11,110.6794
2412.TW,2024-01-11,117.4641
3045.TW,2024-01-11,124.7509
4904.TW,2024-01-11,130.9109
1303.TW,2024-01-11,137.84
1301.TW,2024-01-11,145.2205
6505.TW,2024-01-11,153.4347
2002.TW,2024-01-11,159.2227
2207.TW,2024-01-11,167.5936
2912.TW,2024-01-11,174.0755
1216.TW,2024-01-11,182.135
2603.TW,2024-01-11,189.1878
2615.TW,2024-01-11,196.2383
5871.TW,2024-01-11,203.7092
2408.TW,2024-01-11,209.6363
6446.TW,2024-01-11,40.5651
3481.TW,2024-01-11,47.4436
2888.TW,2024-01-11,54.5445
6488.TWO,2024-01-11,61.5167
2609.TW,2024-01-11,67.8886
1101.TW,2024-01-11,75.717
2618.TW,2024-01-11,82.2365
3293.TWO,2024-01-11,89.8688
4938.TW,2024-01-11,97.3717
5876.TW,2024-01-11,103.5575
3529.TWO,2024-01-11,110.737
1402.TW,2024-01-11,118.1987
2834.TW,2024-01-11,125.4557
2633.TW,2024-01-11,132.2999
3105.TWO,2024-01-11,139.2803
1102.TW,2024-01-11,146.4856
2610.TW,2024-01-11,151.7995
6789.TW,2024-01-11,159.1718
2347.TW,2024-01-11,167.4263
2377.TW,2024-01-11,174.0894
2353.TW,2024-01-11,180.808
5483.TWO,2024-01-11,187.1122
6472.TW,2024-01-11,195.925
3532.TW,2024-01-11,202.2819
8454.TW,2024-01-11,208.1248
IMOS,2024-01-11,39.9217
HIMX,2024-01-11,47.4474
2201.TW,2024-01-11,54.1189
